scope,key,where,keep_exactly,en,nl,fr,de,es,it
browse-01,qa.0.q,"Browse 1 - +1h, the product you viewed | qa.0.q",,Artwork not finished?,Ontwerp nog niet af?,Votre visuel n'est pas terminé ?,Druckdatei noch nicht fertig?,¿El diseño no está terminado?,Il file non è finito?
browse-01,qa.1.a,"Browse 1 - +1h, the product you viewed | qa.1.a",,Our print experts spec jobs like this all day. Describe the job and they will come back with what is possible and what it costs.,Onze printexperts specificeren dit soort opdrachten de hele dag. Beschrijf de opdracht en zij komen terug met wat kan en wat het kost.,Nos experts en impression traitent ce genre de travaux toute la journée. Décrivez le vôtre et ils reviendront avec ce qui est possible et ce que ça coûte.,"Unsere Druckexperten kalkulieren solche Aufträge den ganzen Tag. Beschreiben Sie den Auftrag, dann melden sie sich mit dem, was möglich ist und was es kostet.",Nuestros expertos en impresión definen trabajos así todo el día. Describe el tuyo y volverán con lo que es posible y cuánto cuesta.,I nostri esperti di stampa definiscono lavori così tutto il giorno. Descrivi il lavoro e torneranno con cosa è possibile e quanto costa.
browse-01,qa.1.q,"Browse 1 - +1h, the product you viewed | qa.1.q",,"Odd size, tight deadline, unusual finish?","Afwijkend formaat, krappe deadline, bijzondere afwerking?","Format inhabituel, délai serré, finition particulière ?","Ungewöhnliches Format, knapper Termin, besondere Veredelung?","¿Tamaño raro, plazo ajustado, acabado poco común?","Formato insolito, scadenza stretta, finitura particolare?"
browse-01,qa.2.a,"Browse 1 - +1h, the product you viewed | qa.2.a",,"We will put it in a written quote showing the full total, VAT and delivery included, so you have one number to forward for sign-off.","Wij zetten het in een schriftelijke offerte met het complete totaal, inclusief btw en verzending, zodat je één bedrag kunt doorsturen ter goedkeuring.","Nous le mettons dans un devis écrit avec le total complet, TVA et livraison comprises, pour que vous n'ayez qu'un chiffre à transmettre pour validation.","Wir setzen es in ein schriftliches Angebot mit der vollständigen Summe inklusive Steuer und Versand, damit Sie eine Zahl zur Freigabe weiterleiten können.","Lo ponemos en un presupuesto por escrito con el total completo, IVA y envío incluidos, para que tengas una sola cifra que reenviar para su aprobación.","Lo mettiamo in un preventivo scritto con il totale completo, IVA e spedizione incluse, così hai un solo numero da inoltrare per l'approvazione."
browse-01,qa.2.q,"Browse 1 - +1h, the product you viewed | qa.2.q",,Someone else has to approve it?,Moet iemand anders het goedkeuren?,Quelqu'un doit valider ?,Muss jemand anders zustimmen?,¿Tiene que aprobarlo otra persona?,Deve approvarlo qualcun altro?
browse-01,reviews_note,"Browse 1 - +1h, the product you viewed | under the Trustpilot stars",,"Based on 34,000+ reviews",Op basis van 34.000+ reviews,Sur la base de 34 000+ avis,Auf Basis von 34.000+ Bewertungen,A partir de 34.000+ opiniones,Sulla base di 34.000+ recensioni
browse-01,sect2_h,"Browse 1 - +1h, the product you viewed | sect2_h",,Questions before you order?,Vragen voor je bestelt?,Des questions avant de commander ?,Fragen vor der Bestellung?,¿Dudas antes de pedir?,Domande prima di ordinare?
browse-01,sect_h,"Browse 1 - +1h, the product you viewed | section heading",,Not ready to order yet?,Nog niet klaar om te bestellen?,Pas encore prêt à commander ?,Noch nicht bereit zu bestellen?,¿Todavía no listo para pedir?,Non ancora pronto a ordinare?
browse-01,sect_sub,"Browse 1 - +1h, the product you viewed | line under the section heading",,There is someone here for each of these.,Voor elk van deze dingen zit hier iemand klaar.,"Pour chacun de ces cas, il y a quelqu'un ici.",Für jeden dieser Fälle sitzt hier jemand.,Para cada una de estas cosas hay alguien aquí.,Per ognuna di queste cose qui c'è qualcuno.
browse-01,sub,"Browse 1 - +1h, the product you viewed | line under the headline",,"Nothing has changed since you looked. Pick up where you left off, or change the spec and see what it comes to.","Er is niets veranderd sinds je keek. Ga verder waar je gebleven was, of pas de specificatie aan en kijk wat het wordt.","Rien n'a changé depuis votre visite. Reprenez où vous en étiez, ou modifiez les options et voyez ce que ça donne.","Seit Ihrem Besuch hat sich nichts geändert. Machen Sie da weiter, wo Sie aufgehört haben, oder ändern Sie die Ausführung und sehen Sie, was dabei herauskommt.","No ha cambiado nada desde que lo miraste. Retoma donde lo dejaste, o cambia las opciones y mira en qué queda.","Non è cambiato nulla da quando l'hai guardato. Riprendi da dove eri rimasto, oppure cambia le opzioni e guarda quanto viene."
browse-01,xsell_h,"Browse 1 - +1h, the product you viewed | xsell_h",,Other sizes and folds,Andere formaten en vouwen,Autres formats et pliages,Andere Formate und Falzungen,Otros tamaños y plegados,Altri formati e pieghe
browse-02,alt_checking,"Browse 2 - +24h, you do not need the artwork yet | alt_checking",,Helloprint colleagues checking customer print files on screen,Helloprint-collega's die drukbestanden van klanten op het scherm controleren,Des collègues Helloprint vérifiant des fichiers clients à l'écran,Helloprint-Kollegen prüfen Kundendruckdaten am Bildschirm,Compañeros de Helloprint revisando archivos de clientes en pantalla,Colleghi Helloprint che controllano i file dei clienti a schermo
browse-02,ask_h,"Browse 2 - +24h, you do not need the artwork yet | ask_h",,Rather just ask someone?,Vraag je het liever gewoon aan iemand?,Vous préférez simplement demander ?,Lieber einfach jemanden fragen?,¿Prefieres preguntar a alguien?,Preferisci semplicemente chiedere?
browse-02,ask_how,"Browse 2 - +24h, you do not need the artwork yet | ask_how",,How the design check works,Hoe de ontwerpcontrole werkt,Comment fonctionne la vérification,Wie der Dateicheck funktioniert,Cómo funciona la revisión,Come funziona il controllo
browse-02,ask_mail,"Browse 2 - +24h, you do not need the artwork yet | ask_mail",,E-mail us your file,Mail ons je bestand,Envoyez-nous votre fichier,Schicken Sie uns Ihre Datei,Envíanos tu archivo,Mandaci il tuo file
browse-02,check.0,"Browse 2 - +24h, you do not need the artwork yet | check.0",,Nothing important gets cut off at the edges,Er valt niets belangrijks weg aan de randen,Rien d'important n'est coupé sur les bords,An den Rändern geht nichts Wichtiges verloren,No se corta nada importante en los bordes,Ai bordi non si perde niente di importante
browse-02,check.1,"Browse 2 - +24h, you do not need the artwork yet | check.1",,"Photos and logos come out sharp, not fuzzy","Foto's en logo's komen scherp uit de pers, niet wazig","Photos et logos ressortent nets, pas flous","Fotos und Logos kommen scharf heraus, nicht unscharf","Las fotos y los logos salen nítidos, no borrosos","Foto e loghi vengono nitidi, non sfocati"
browse-02,check.2,"Browse 2 - +24h, you do not need the artwork yet | check.2",,Colours print the way you expect them to,Kleuren drukken zoals je verwacht,Les couleurs s'impriment comme vous l'attendez,"Farben drucken so, wie Sie es erwarten",Los colores salen como esperas,I colori vengono come te li aspetti
browse-02,check.3,"Browse 2 - +24h, you do not need the artwork yet | check.3",,"If something looks wrong, you hear from us first","Ziet iets er niet goed uit, dan hoor je het eerst van ons","Si quelque chose cloche, vous l'apprenez de nous d'abord","Wenn etwas nicht stimmt, hören Sie es zuerst von uns","Si algo no cuadra, lo sabes por nosotros primero","Se qualcosa non va, lo senti prima da noi"
browse-02,check_body,"Browse 2 - +24h, you do not need the artwork yet | check_body",,"Every file gets an automatic check at no cost. For a little extra at checkout, one of our print experts goes through it by hand as well.",Elk bestand krijgt gratis een automatische controle. Voor een kleine meerprijs bij het afrekenen loopt een van onze printexperts het er ook nog met de hand doorheen.,"Chaque fichier passe un contrôle automatique gratuit. Pour un petit supplément au paiement, un de nos experts en impression le vérifie aussi à la main.",Jede Datei wird kostenlos automatisch geprüft. Für einen kleinen Aufpreis beim Checkout geht zusätzlich einer unserer Druckexperten sie von Hand durch.,"Cada archivo pasa una revisión automática sin coste. Por un pequeño extra en el pago, uno de nuestros expertos en impresión también lo revisa a mano.","Ogni file passa un controllo automatico gratuito. Con un piccolo extra al checkout, uno dei nostri esperti di stampa lo controlla anche a mano."
browse-02,checks_h,"Browse 2 - +24h, you do not need the artwork yet | checks_h",,We look at every file before it prints,Wij bekijken elk bestand voordat het gedrukt wordt,Nous regardons chaque fichier avant impression,Wir sehen uns jede Datei vor dem Druck an,Miramos cada archivo antes de imprimirlo,Guardiamo ogni file prima di stamparlo
browse-02,checks_sub,"Browse 2 - +24h, you do not need the artwork yet | checks_sub",,So the thing that arrives is the thing you pictured.,Zodat wat er aankomt is wat je voor ogen had.,Pour que ce qui arrive soit ce que vous aviez en tête.,"Damit das, was ankommt, dem entspricht, was Sie sich vorgestellt haben.",Para que lo que llega sea lo que tenías en mente.,Così quello che arriva è quello che avevi in mente.
browse-02,design_body,"Browse 2 - +24h, you do not need the artwork yet | design_body",,"Send us the file, or a rough idea of what you want, and a designer will tell you what is needed before you commit to anything.","Stuur ons het bestand, of een ruw idee van wat je wilt, en een designer vertelt je wat er nodig is voordat je je ergens aan vastlegt.","Envoyez-nous le fichier, ou juste une idée de ce que vous voulez, et un graphiste vous dira ce qu'il faut avant que vous ne vous engagiez.","Schicken Sie uns die Datei oder eine grobe Idee, und ein Designer sagt Ihnen, was nötig ist, bevor Sie sich festlegen.","Envíanos el archivo, o una idea aproximada de lo que quieres, y un diseñador te dirá qué hace falta antes de que te comprometas a nada.","Mandaci il file, o anche solo un'idea di massima, e un designer ti dirà cosa serve prima che tu ti impegni."
browse-02,eyebrow,"Browse 2 - +24h, you do not need the artwork yet | small green line above the headline",,ARTWORK,ONTWERP,VISUEL,DRUCKDATEI,DISEÑO,FILE
browse-02,get_ones,"Browse 2 - +24h, you do not need the artwork yet | get_ones",,Get the ones for {p},Haal die voor {p},Obtenir ceux pour {p},Die passenden für {p} holen,Consíguelas para {p},Prendi quelli per {p}
browse-02,h1,"Browse 2 - +24h, you do not need the artwork yet | main headline",,You do not need the finished artwork yet,Je hebt het definitieve ontwerp nog niet nodig,Vous n'avez pas encore besoin du visuel définitif,Sie brauchen die fertige Datei noch nicht,Todavía no necesitas el diseño definitivo,Non ti serve ancora il file definitivo
browse-02,pre,"Browse 2 - +24h, you do not need the artwork yet | hidden preheader - the inbox snippet",,Order now and send your file later. Nothing goes on press until it has been checked.,Bestel nu en stuur je bestand later. Er gaat niets op de pers voordat het is gecontroleerd.,Commandez maintenant et envoyez votre fichier plus tard. Rien ne part en impression avant vérification.,"Jetzt bestellen und die Datei später schicken. Nichts geht in den Druck, bevor es geprüft wurde.",Pide ahora y envía tu archivo después. Nada entra en máquina sin haberse revisado.,Ordina ora e manda il file dopo. Niente va in stampa prima di essere controllato.
browse-02,premium.0,"Browse 2 - +24h, you do not need the artwork yet | premium.0",,"A print expert reviews it, not just software","Een printexpert kijkt ernaar, niet alleen software","Un expert en impression le relit, pas seulement un logiciel","Ein Druckexperte prüft sie, nicht nur eine Software","Lo revisa un experto en impresión, no solo un software","Lo rivede un esperto di stampa, non solo un software"
browse-02,premium.1,"Browse 2 - +24h, you do not need the artwork yet | premium.1",,We contact you before printing if anything looks off,Wij nemen contact op voor het drukken als iets niet klopt,Nous vous contactons avant impression si quelque chose cloche,"Wir melden uns vor dem Druck, wenn etwas nicht stimmt",Te contactamos antes de imprimir si algo no cuadra,Ti contattiamo prima di stampare se qualcosa non va
browse-02,premium.2,"Browse 2 - +24h, you do not need the artwork yet | premium.2",100%,Backed by our 100% Satisfaction Guarantee,Met onze 100% Tevredenheidsgarantie,Couvert par notre garantie satisfaction 100%,Abgesichert durch unsere 100% Zufriedenheitsgarantie,Con nuestra Garantía de Satisfacción del 100%,Con la nostra Garanzia di Soddisfazione 100%
browse-02,premium_eyebrow,"Browse 2 - +24h, you do not need the artwork yet | premium_eyebrow",,PREMIUM DESIGN CHECK,PREMIUM ONTWERPCONTROLE,VÉRIFICATION PREMIUM DU VISUEL,PREMIUM-DATEICHECK,REVISIÓN PREMIUM DEL DISEÑO,CONTROLLO PREMIUM DEL FILE
browse-02,premium_h,"Browse 2 - +24h, you do not need the artwork yet | premium_h",,Want a person to check it as well?,Wil je dat er ook iemand naar kijkt?,Vous voulez qu'une personne le vérifie aussi ?,Soll auch ein Mensch draufschauen?,¿Quieres que además lo revise una persona?,Vuoi che lo controlli anche una persona?
browse-02,premium_sub,"Browse 2 - +24h, you do not need the artwork yet | premium_sub",,Eight out of ten customers add it. Reprinting a job costs many times more than the check does.,Acht op de tien klanten nemen het erbij. Opnieuw drukken kost een veelvoud van wat de controle kost.,Huit clients sur dix l'ajoutent. Réimprimer coûte bien plus cher que la vérification.,Acht von zehn Kunden nehmen ihn dazu. Ein Nachdruck kostet ein Vielfaches des Checks.,Ocho de cada diez clientes lo añaden. Reimprimir cuesta muchas veces más que la revisión.,Otto clienti su dieci lo aggiungono. Ristampare costa molte volte più del controllo.
browse-02,route.0.b,"Browse 2 - +24h, you do not need the artwork yet | route.0.b",,Add to cart now and send your files after checkout.,Leg nu in je winkelwagen en stuur je bestanden na het afrekenen.,Ajoutez au panier maintenant et envoyez vos fichiers après la commande.,Jetzt in den Warenkorb legen und die Dateien nach der Bestellung schicken.,Añádelo al carrito ahora y envía los archivos después de pagar.,Aggiungi al carrello ora e manda i file dopo il pagamento.
browse-02,route.0.t,"Browse 2 - +24h, you do not need the artwork yet | route.0.t",,Upload later,Later uploaden,Envoyer plus tard,Später hochladen,Subir después,Carica dopo
browse-02,route.1.b,"Browse 2 - +24h, you do not need the artwork yet | route.1.b",,"Customise it in our editor, with a live preview.","Pas het aan in onze editor, met een live voorbeeld.","Personnalisez-le dans notre éditeur, avec un aperçu en direct.","Passen Sie es in unserem Editor an, mit Live-Vorschau.","Personalízalo en nuestro editor, con vista previa en directo.","Personalizzalo nel nostro editor, con anteprima dal vivo."
browse-02,route.1.t,"Browse 2 - +24h, you do not need the artwork yet | route.1.t",,Design online,Online ontwerpen,Créer en ligne,Online gestalten,Diseñar online,Progetta online
browse-02,route.2.b,"Browse 2 - +24h, you do not need the artwork yet | route.2.b",,"You have print-ready files, or your own designer.","Je hebt drukklare bestanden, of je eigen ontwerper.","Vous avez des fichiers prêts à imprimer, ou votre propre graphiste.",Sie haben druckfertige Dateien oder einen eigenen Designer.,"Tienes archivos listos para imprimir, o tu propio diseñador.","Hai file pronti per la stampa, o un tuo grafico."
browse-02,route.2.t,"Browse 2 - +24h, you do not need the artwork yet | route.2.t",,Upload your design,Je ontwerp uploaden,Envoyer votre visuel,Design hochladen,Sube tu diseño,Carica il tuo file
browse-02,sect_h,"Browse 2 - +24h, you do not need the artwork yet | section heading",,Three ways to get us your design,Drie manieren om ons je ontwerp te sturen,Trois façons de nous transmettre votre visuel,"Drei Wege, uns Ihr Design zu schicken",Tres formas de hacernos llegar tu diseño,Tre modi per farci avere il tuo file
browse-02,sect_sub,"Browse 2 - +24h, you do not need the artwork yet | line under the section heading",,Pick whichever suits. All three end up in the same place.,Kies wat je uitkomt. Alle drie komen op dezelfde plek uit.,Choisissez ce qui vous arrange. Les trois aboutissent au même endroit.,"Nehmen Sie, was Ihnen passt. Alle drei enden am selben Ort.",Elige lo que te venga bien. Las tres acaban en el mismo sitio.,Scegli quello che ti conviene. Tutti e tre finiscono nello stesso posto.
browse-02,sub,"Browse 2 - +24h, you do not need the artwork yet | line under the headline",,Order when you are ready and send your file afterwards. Nothing goes on press until it has been checked.,Bestel wanneer je zover bent en stuur je bestand daarna. Er gaat niets op de pers voordat het is gecontroleerd.,Commandez quand vous êtes prêt et envoyez votre fichier ensuite. Rien ne part en impression avant vérification.,"Bestellen Sie, wenn Sie so weit sind, und schicken Sie die Datei danach. Nichts geht in den Druck, bevor es geprüft wurde.",Pide cuando estés listo y envía el archivo después. Nada entra en máquina sin haberse revisado.,Ordina quando sei pronto e manda il file dopo. Niente va in stampa prima di essere controllato.
browse-02,templates,"Browse 2 - +24h, you do not need the artwork yet | templates",,"Every product has templates to download, already the right size.","Bij elk product kun je sjablonen downloaden, al op de juiste maat.","Chaque produit a des gabarits à télécharger, déjà au bon format.","Zu jedem Produkt gibt es Vorlagen zum Herunterladen, bereits im richtigen Format.","Cada producto tiene plantillas para descargar, ya con el tamaño correcto.","Ogni prodotto ha modelli da scaricare, già della misura giusta."
browse-03,alt_team,"Browse 3 - +3d, tell us the job and we price it | alt_team",,The Helloprint team who price the unusual jobs,Het Helloprint-team dat de bijzondere klussen prijst,L'équipe Helloprint qui chiffre les travaux hors norme,"Das Helloprint-Team, das die ungewöhnlichen Aufträge kalkuliert",El equipo de Helloprint que presupuesta los trabajos poco habituales,Il team Helloprint che quota i lavori insoliti
browse-03,blocked.0.b,"Browse 3 - +3d, tell us the job and we price it | blocked.0.b",,Forty years in the graphic trade sits behind the quote desk. Say what the job has to do and they work out how to make it.,Achter de offertebalie zit veertig jaar ervaring in het grafische vak. Zeg wat de opdracht moet doen en zij bedenken hoe het gemaakt wordt.,Quarante ans de métier dans les arts graphiques se trouvent derrière le service devis. Dites ce que le travail doit faire et ils trouvent comment le réaliser.,"Hinter dem Angebotsteam stehen vierzig Jahre grafisches Gewerbe. Sagen Sie, was der Auftrag leisten muss, dann finden sie den Weg dorthin.",Detrás del equipo de presupuestos hay cuarenta años de oficio gráfico. Di qué tiene que hacer el trabajo y ellos averiguan cómo hacerlo.,Dietro il team preventivi ci sono quarant'anni di mestiere grafico. Di' cosa deve fare il lavoro e trovano loro il modo di realizzarlo.
browse-03,blocked.0.t,"Browse 3 - +3d, tell us the job and we price it | blocked.0.t",,The spec is unusual,De specificatie is bijzonder,Le cahier des charges sort de l'ordinaire,Die Ausführung ist ungewöhnlich,Las especificaciones son poco comunes,Le specifiche sono insolite
browse-03,blocked.1.b,"Browse 3 - +3d, tell us the job and we price it | blocked.1.b",,"Tell them the date. Most products go out for next-day delivery where possible, and you get a straight answer if it cannot be done.","Geef ze de datum. De meeste producten gaan waar mogelijk de volgende dag de deur uit, en als het niet kan hoor je dat gewoon.","Donnez-leur la date. La plupart des produits partent en livraison le lendemain quand c'est possible, et vous obtenez une réponse franche si ce n'est pas faisable.","Nennen Sie ihnen das Datum. Die meisten Produkte gehen wo möglich mit Lieferung am nächsten Tag raus, und wenn es nicht geht, sagen sie es Ihnen klar.","Diles la fecha. La mayoría de los productos salen con entrega al día siguiente cuando es posible, y si no se puede te lo dicen claro.","Dai loro la data. La maggior parte dei prodotti parte con consegna il giorno dopo quando è possibile, e se non si può te lo dicono chiaramente."
browse-03,blocked.1.t,"Browse 3 - +3d, tell us the job and we price it | blocked.1.t",,You need it by a date,Je hebt het op een datum nodig,Vous en avez besoin pour une date,Sie brauchen es zu einem Termin,Lo necesitas para una fecha,Ti serve entro una data
browse-03,blocked.2.b,"Browse 3 - +3d, tell us the job and we price it | blocked.2.b",,"A written quote with the full total in it, so there is one number to forward instead of a basket to describe.","Een schriftelijke offerte met het complete totaal erin, zodat je één bedrag kunt doorsturen in plaats van een winkelwagen te moeten uitleggen.","Un devis écrit avec le total complet, pour n'avoir qu'un chiffre à transmettre au lieu d'un panier à décrire.","Ein schriftliches Angebot mit der vollständigen Summe, also eine Zahl zum Weiterleiten statt eines Warenkorbs zum Erklären.","Un presupuesto por escrito con el total completo, así hay una cifra que reenviar en vez de un carrito que describir.","Un preventivo scritto con il totale completo, così c'è un numero da inoltrare invece di un carrello da descrivere."
browse-03,blocked.2.t,"Browse 3 - +3d, tell us the job and we price it | blocked.2.t",,Someone has to approve it,Iemand moet het goedkeuren,Quelqu'un doit valider,Jemand muss es freigeben,Alguien tiene que aprobarlo,Qualcuno deve approvarlo
browse-03,cta,"Browse 3 - +3d, tell us the job and we price it | button",,Request a quote,Offerte aanvragen,Demander un devis,Angebot anfordern,Pedir presupuesto,Richiedi un preventivo
browse-03,eyebrow,"Browse 3 - +3d, tell us the job and we price it | small green line above the headline",,GET A QUOTE,VRAAG EEN OFFERTE,DEMANDER UN DEVIS,ANGEBOT ANFORDERN,PIDE PRESUPUESTO,CHIEDI UN PREVENTIVO
browse-03,h1,"Browse 3 - +3d, tell us the job and we price it | main headline",,Tell us the job. We will price it.,Vertel ons de opdracht. Wij prijzen hem.,Dites-nous le travail. Nous le chiffrons.,Sagen Sie uns den Auftrag. Wir kalkulieren ihn.,Cuéntanos el trabajo. Nosotros lo presupuestamos.,Raccontaci il lavoro. Lo quotiamo noi.
browse-03,john_body,"Browse 3 - +3d, tell us the job and we price it | john_body",,"That is John in the pink polo up there. He has specced print for over twenty years, and his team handles everything from a straightforward reprint to the jobs other printers turn down. Send them the awkward one.","Dat is John in het roze poloshirt hierboven. Hij specificeert al ruim twintig jaar drukwerk, en zijn team pakt alles op, van een simpele herdruk tot de klussen die andere drukkers afwijzen. Stuur ze gerust de lastige.","C'est John, en polo rose là-haut. Il définit des travaux d'impression depuis plus de vingt ans, et son équipe gère tout, de la simple réimpression aux commandes que d'autres imprimeurs refusent. Envoyez-leur la plus compliquée.","Das ist John im rosa Poloshirt da oben. Er kalkuliert seit über zwanzig Jahren Druckaufträge, und sein Team übernimmt alles, vom einfachen Nachdruck bis zu den Aufträgen, die andere Druckereien ablehnen. Schicken Sie ihnen den kniffligen.","Ese es John, el del polo rosa de arriba. Lleva más de veinte años definiendo trabajos de impresión, y su equipo se ocupa de todo, desde una reimpresión sencilla hasta los encargos que otras imprentas rechazan. Mándales el complicado.","Quello è John, con la polo rosa lì sopra. Definisce lavori di stampa da più di vent'anni, e il suo team gestisce tutto, dalla semplice ristampa ai lavori che altre tipografie rifiutano. Mandategli quello difficile."
browse-03,pre,"Browse 3 - +3d, tell us the job and we price it | hidden preheader - the inbox snippet",,Tell the quote desk what the job is. A tailored price back within 24 hours.,Vertel de offertebalie wat de opdracht is. Een prijs op maat binnen 24 uur terug.,Dites au service devis en quoi consiste le travail. Un prix sur mesure sous 24 heures.,"Sagen Sie dem Angebotsteam, worum es geht. Ein Preis auf Maß innerhalb von 24 Stunden.",Cuéntale al equipo de presupuestos cuál es el trabajo. Un precio a medida en 24 horas.,Racconta al team preventivi qual è il lavoro. Un prezzo su misura entro 24 ore.
browse-03,quote_body,"Browse 3 - +3d, tell us the job and we price it | quote_body",,A standard run or something nobody has printed before. Either way you get a price within 24 hours and a straight answer on what is possible.,Een standaardoplage of iets wat nog nooit iemand heeft gedrukt. In beide gevallen krijg je binnen 24 uur een prijs en een eerlijk antwoord over wat er kan.,"Un tirage standard ou quelque chose que personne n'a jamais imprimé. Dans les deux cas, vous avez un prix sous 24 heures et une réponse franche sur ce qui est possible.","Eine Standardauflage oder etwas, das noch nie jemand gedruckt hat. In beiden Fällen bekommen Sie innerhalb von 24 Stunden einen Preis und eine klare Antwort, was möglich ist.",Una tirada estándar o algo que nadie ha impreso antes. En cualquier caso tienes un precio en 24 horas y una respuesta clara sobre lo que es posible.,Una tiratura standard o qualcosa che nessuno ha mai stampato. In entrambi i casi hai un prezzo entro 24 ore e una risposta chiara su cosa è possibile.
browse-03,sect_h,"Browse 3 - +3d, tell us the job and we price it | section heading",,Three reasons people ask us instead,Drie redenen waarom mensen het ons vragen,Trois raisons pour lesquelles on nous demande,"Drei Gründe, warum man uns fragt",Tres razones por las que nos preguntan,Tre motivi per cui ce lo chiedono
