scope,key,where,keep_exactly,en,nl,fr,de,es,it
welcome-01,pre_ordered,"Welcome 1 - day 0, has the code | preheader for people who already ordered (no discount)",10%,"Your 10% code is inside, and the prints most businesses start with.","Je 10%-code staat klaar, plus waar de meeste bedrijven mee beginnen.","Votre code de 10% vous attend, avec ce que commandent la plupart des entreprises.","Ihr 10%-Code wartet, dazu die Klassiker für den Anfang.","Tu código del 10% te espera, y con qué empiezan la mayoría de empresas.","Il tuo codice 10% ti aspetta, e da dove partono quasi tutte le aziende."
welcome-01,reviews_note,"Welcome 1 - day 0, has the code | under the Trustpilot stars",,"Based on 34,000+ reviews",Uit 34.000+ reviews,Sur 34 000+ avis,Aus über 34.000 Bewertungen,De más de 34.000 opiniones,Su oltre 34.000 recensioni
welcome-01,sect_h,"Welcome 1 - day 0, has the code | section heading",,What businesses order first,Waar bedrijven mee beginnen,Ce que les entreprises commandent en premier,Damit fangen Unternehmen an,Con esto empiezan las empresas,Da qui partono le aziende
welcome-01,sect_sub,"Welcome 1 - day 0, has the code | line under the section heading",10%,Pick one and your 10% comes off at checkout.,Kies er één. De 10% halen we er bij het afrekenen af.,Choisissez : les 10% partent au moment du paiement.,Eins aussuchen – die 10% gehen beim Bezahlen ab.,Elige uno y el 10% se descuenta al pagar.,"Scegline uno, il 10% si scala alla cassa."
welcome-01,sub,"Welcome 1 - day 0, has the code | line under the headline",,"Print made simple, by people who have your back.","Drukwerk zonder gedoe, met mensen die naast je staan.","L'impression sans prise de tête, avec des gens qui vous épaulent.","Drucken ohne Umstände, mit Menschen, die hinter Ihnen stehen.","Imprimir sin complicaciones, con gente que te respalda.","Stampare senza complicazioni, con persone che ti danno una mano."
welcome-01,tp_alt_stars,"Welcome 1 - day 0, has the code | tp_alt_stars",,Rated 4.5 out of 5 stars on Trustpilot,"Beoordeeld met 4,5 van de 5 sterren op Trustpilot","Noté 4,5 étoiles sur 5 sur Trustpilot","Bewertet mit 4,5 von 5 Sternen auf Trustpilot","Valorado con 4,5 de 5 estrellas en Trustpilot","Valutato 4,5 stelle su 5 su Trustpilot"
welcome-01,tp_outof,"Welcome 1 - day 0, has the code | tp_outof",,out of 5 on Trustpilot,uit 5 op Trustpilot,sur 5 sur Trustpilot,von 5 auf Trustpilot,de 5 en Trustpilot,su 5 su Trustpilot
welcome-01,u1,"Welcome 1 - day 0, has the code | u1",,1 unit,1 stuk,1 unité,1 Stück,1 unidad,1 pezzo
welcome-01,u1000,"Welcome 1 - day 0, has the code | u1000",,"1,000 units",1.000 stuks,1 000 unités,1.000 Stück,1.000 unidades,1.000 pezzi
welcome-01,u50,"Welcome 1 - day 0, has the code | u50",,50 units,50 stuks,50 unités,50 Stück,50 unidades,50 pezzi
welcome-01,u500,"Welcome 1 - day 0, has the code | u500",,500 units,500 stuks,500 unités,500 Stück,500 unidades,500 pezzi
welcome-01,usp.0,"Welcome 1 - day 0, has the code | usp.0",&ldquo; &rdquo;,&ldquo;Every price includes delivery and VAT&rdquo;,&ldquo;Elke prijs is all-in: verzending en btw zitten erin&rdquo;,&ldquo;Chaque prix est tout compris : livraison et TVA incluses&rdquo;,&ldquo;Bei jedem Preis ist alles dabei: Versand und MwSt.&rdquo;,&ldquo;Cada precio lo incluye todo: envío e IVA&rdquo;,&ldquo;Ogni prezzo è tutto compreso: spedizione e IVA&rdquo;
welcome-01,usp.1,"Welcome 1 - day 0, has the code | usp.1",&ldquo; &rdquo;,&ldquo;We check every file before it prints&rdquo;,&ldquo;Geen bestand gaat op de pers zonder controle&rdquo;,&ldquo;Aucun fichier ne part à l'impression sans vérification&rdquo;,&ldquo;Keine Datei geht ungeprüft in den Druck&rdquo;,&ldquo;Ningún archivo se imprime sin revisar&rdquo;,&ldquo;Nessun file va in stampa senza controllo&rdquo;
welcome-01,usp.2,"Welcome 1 - day 0, has the code | usp.2",&ldquo; &rdquo; 100%,&ldquo;Backed by our 100% satisfaction guarantee&rdquo;,&ldquo;100% tevredenheidsgarantie op elke order&rdquo;,&ldquo;Satisfaction garantie à 100% sur chaque commande&rdquo;,&ldquo;100% Zufriedenheitsgarantie auf jede Bestellung&rdquo;,&ldquo;100% de satisfacción garantizada en cada pedido&rdquo;,&ldquo;Soddisfazione garantita al 100% su ogni ordine&rdquo;
welcome-02,alt_advisers,"Welcome 2 - day 1, behind the print | alt_advisers",,Helloprint customer advisers at work,Helloprint-klantadviseurs aan het werk,Des conseillers clients Helloprint au travail,Helloprint-Kundenberater bei der Arbeit,Asesores de clientes de Helloprint trabajando,Consulenti clienti Helloprint al lavoro
welcome-02,alt_beach,"Welcome 2 - day 1, behind the print | alt_beach",,The Helloprint team at a beach clean-up,Het Helloprint-team bij een strandopruiming,L'équipe Helloprint lors d'un nettoyage de plage,Das Helloprint-Team bei einer Strandreinigung,El equipo de Helloprint en una limpieza de playa,Il team Helloprint a una pulizia della spiaggia
welcome-02,alt_eco,"Welcome 2 - day 1, behind the print | alt_eco",,Eco flyers printed on recycled paper,Eco-flyers gedrukt op gerecycled papier,Des flyers éco imprimés sur papier recyclé,Öko-Flyer auf Recyclingpapier gedruckt,Flyers ecológicos impresos en papel reciclado,Volantini eco stampati su carta riciclata
welcome-02,alt_range,"Welcome 2 - day 1, behind the print | alt_range",,"Flyers, business cards, posters and roller banners","Flyers, visitekaartjes, posters en roll-upbanners","Flyers, cartes de visite, affiches et roll-ups","Flyer, Visitenkarten, Poster und Roll-up-Banner","Flyers, tarjetas de visita, pósters y roll-ups","Volantini, biglietti da visita, poster e roll-up"
welcome-02,b.0.l,"Welcome 2 - day 1, behind the print | b.0.l",,How the platform works,Zo werkt het platform,Comment marche la plateforme,So funktioniert die Plattform,Así funciona la plataforma,Come funziona la piattaforma
welcome-02,b.0.t,"Welcome 2 - day 1, behind the print | b.0.t",,Printed close to you,Dicht bij jou gedrukt,Imprimé près de chez vous,In Ihrer Nähe gedruckt,Impreso cerca de ti,Stampato vicino a te
welcome-02,b.1.l,"Welcome 2 - day 1, behind the print | b.1.l",,Read our impact report,Lees ons impactrapport,Lire notre rapport d'impact,Unseren Impact-Report lesen,Leer nuestro informe de impacto,Leggi il nostro report d'impatto
welcome-02,b.1.t,"Welcome 2 - day 1, behind the print | b.1.t",,"Better print, less impact","Mooier drukwerk, minder impact","Mieux imprimé, moins d'impact","Besser gedruckt, weniger Impact","Mejor impresión, menos impacto","Stampa migliore, meno impatto"
welcome-02,b.2.l,"Welcome 2 - day 1, behind the print | b.2.l",,Browse everything,Bekijk het hele assortiment,Voir tout le catalogue,Das ganze Sortiment ansehen,Ver todo el catálogo,Guarda tutto il catalogo
welcome-02,b.2.t,"Welcome 2 - day 1, behind the print | b.2.t",,"Over 10,000 products",Meer dan 10.000 producten,Plus de 10 000 produits,Über 10.000 Produkte,Más de 10.000 productos,Oltre 10.000 prodotti
welcome-02,cta,"Welcome 2 - day 1, behind the print | button",,Read our story,Lees ons verhaal,Découvrir notre histoire,Unsere Geschichte lesen,Conoce nuestra historia,Scopri la nostra storia
welcome-02,eco_body,"Welcome 2 - day 1, behind the print | eco_body",,"Print should not cost the earth. Being a certified B Corp keeps us honest about that, and it is why we work with partners who produce closer to you and materials that ask less of the planet. Our impact report shows where we stand and where we are heading.","Drukwerk hoeft de aarde niet te kosten. Als gecertificeerde B Corp worden we daarop afgerekend, en daarom kiezen we partners die dichter bij je produceren en materialen die de planeet minder vragen. In ons impactrapport staat waar we staan en waar we naartoe werken.","L'impression ne devrait pas coûter la planète. Notre certification B Corp nous oblige à le prouver, et c'est pourquoi nous travaillons avec des partenaires qui produisent plus près de vous et des matériaux moins gourmands. Notre rapport d'impact dit où nous en sommes et où nous allons.","Drucken muss die Umwelt nicht kosten. Als zertifizierte B Corp müssen wir das belegen – deshalb arbeiten wir mit Partnern, die näher bei Ihnen produzieren, und mit Materialien, die dem Planeten weniger abverlangen. Unser Impact-Report zeigt, wo wir stehen und wohin wir wollen.","Imprimir no tiene por qué costarle al planeta. Ser una B Corp certificada nos obliga a demostrarlo, y por eso trabajamos con socios que producen más cerca de ti y con materiales que piden menos al planeta. Nuestro informe de impacto cuenta dónde estamos y hacia dónde vamos.","Stampare non deve costare al pianeta. Essere una B Corp certificata ci obbliga a dimostrarlo, ed è per questo che scegliamo partner che producono più vicino a te e materiali che chiedono meno al pianeta. Il nostro report d'impatto dice dove siamo e dove stiamo andando."
welcome-02,expires,"Welcome 2 - day 1, behind the print | countdown, on the product tiles",&middot; &nbsp;,&nbsp;&middot;&nbsp;Expires in 4 days,&nbsp;&middot;&nbsp;Verloopt over 4 dagen,&nbsp;&middot;&nbsp;Expire dans 4 jours,&nbsp;&middot;&nbsp;Läuft in 4 Tagen ab,&nbsp;&middot;&nbsp;Caduca en 4 días,&nbsp;&middot;&nbsp;Scade tra 4 giorni
welcome-02,h1,"Welcome 2 - day 1, behind the print | main headline",,Meet the people behind your print,Wie jouw drukwerk maakt,Qui imprime vos commandes,Wer Ihre Drucksachen produziert,Quién imprime tus pedidos,Chi stampa i tuoi ordini
welcome-02,pre,"Welcome 2 - day 1, behind the print | hidden preheader - the inbox snippet",10%,Printed closer to you by a certified B Corp. Your 10% has 4 days left.,"Dichter bij jou gedrukt, door een gecertificeerde B Corp. Nog 4 dagen voor je 10%.","Imprimé près de chez vous, par une B Corp certifiée. Encore 4 jours pour vos 10%.","Näher bei Ihnen gedruckt, von einer zertifizierten B Corp. Noch 4 Tage für Ihre 10%.","Impreso cerca de ti, por una B Corp certificada. Te quedan 4 días para tu 10%.","Stampato vicino a te, da una B Corp certificata. Ancora 4 giorni per il tuo 10%."
welcome-02,pre_ordered,"Welcome 2 - day 1, behind the print | preheader for people who already ordered (no discount)",,"Printed closer to you, a B Corp certification, and over 10,000 products.","Dichter bij jou gedrukt, een B Corp-certificering en meer dan 10.000 producten.","Imprimé près de chez vous, une certification B Corp et plus de 10 000 produits.","Näher bei Ihnen gedruckt, B Corp zertifiziert und über 10.000 Produkte.","Impreso cerca de ti, certificación B Corp y más de 10.000 productos.","Stampato vicino a te, certificazione B Corp e oltre 10.000 prodotti."
welcome-02,range_body,"Welcome 2 - day 1, behind the print | range_body",,"More than 100 million product combinations. Business cards, flyers, brochures, posters, banners, textiles, packaging and branded gifts. Configure what you need and the platform finds a partner who can make it.","Meer dan 100 miljoen combinaties. Visitekaartjes, flyers, brochures, posters, banners, textiel, verpakking en relatiegeschenken. Jij stelt samen wat je nodig hebt, het platform zoekt de partner die het kan maken.","Plus de 100 millions de combinaisons. Cartes de visite, flyers, brochures, affiches, banderoles, textile, emballage et objets publicitaires. Vous configurez ce qu'il vous faut, la plateforme trouve l'imprimeur capable de le produire.","Über 100 Millionen Kombinationen. Visitenkarten, Flyer, Broschüren, Poster, Banner, Textil, Verpackung und Werbegeschenke. Sie konfigurieren, was Sie brauchen – die Plattform findet den Partner, der es herstellen kann.","Más de 100 millones de combinaciones. Tarjetas de visita, flyers, folletos, pósters, banners, textil, packaging y regalos de empresa. Tú configuras lo que necesitas y la plataforma encuentra quién puede producirlo.","Oltre 100 milioni di combinazioni. Biglietti da visita, flyer, brochure, poster, banner, tessile, packaging e gadget aziendali. Tu configuri quello che ti serve, la piattaforma trova il partner che può produrlo."
welcome-02,sect_h,"Welcome 2 - day 1, behind the print | section heading",,Three things worth knowing,Drie dingen die je moet weten,Trois choses à savoir,"Drei Dinge, die Sie wissen sollten",Tres cosas que conviene saber,Tre cose da sapere
welcome-02,sect_sub,"Welcome 2 - day 1, behind the print | line under the section heading",,Not slogans. Things you can check.,Geen praatjes. Dingen die je zelf kunt nagaan.,Pas des slogans. Des faits vérifiables.,Keine Slogans. Nachprüfbare Fakten.,No son eslóganes. Son datos que puedes comprobar.,Non slogan. Fatti che puoi verificare.
welcome-02,ship_body,"Welcome 2 - day 1, behind the print | ship_body",,"Your order goes to a print partner near your delivery address, so it travels less and arrives sooner. In Ireland that means delivery via An Post and DPD, backed by a network of 300+ production partners.","Je order gaat naar een drukker in de buurt van je bezorgadres. Minder kilometers, dus sneller bij je. Achter de bezorging zit een netwerk van meer dan 300 productiepartners.","Votre commande part chez un imprimeur proche de votre adresse de livraison. Moins de kilomètres, donc plus vite chez vous. Derrière, un réseau de plus de 300 partenaires de production.","Ihr Auftrag geht an eine Druckerei in der Nähe Ihrer Lieferadresse. Weniger Kilometer, also schneller bei Ihnen. Dahinter steht ein Netz von über 300 Produktionspartnern.","Tu pedido va a una imprenta cercana a tu dirección de entrega. Menos kilómetros, así que llega antes. Detrás hay una red de más de 300 socios de producción.","Il tuo ordine va a uno stampatore vicino al tuo indirizzo di consegna. Meno chilometri, quindi arriva prima. Dietro c'è una rete di oltre 300 partner di produzione."
welcome-02,sub,"Welcome 2 - day 1, behind the print | line under the headline",,"A B Corp certified platform, local print partners, and a promise to have your back.","Een gecertificeerde B Corp, drukkers uit je eigen regio, en mensen die je niet laten vallen.","Une plateforme certifiée B Corp, des imprimeurs près de chez vous, et une équipe qui ne vous laisse pas tomber.","Zertifizierte B Corp, Druckpartner aus Ihrer Region und ein Team, das Sie nicht hängen lässt.","Una plataforma certificada B Corp, imprentas cerca de ti y un equipo que no te deja tirado.","Una piattaforma certificata B Corp, stampatori vicino a te e un team che non ti lascia solo."
welcome-02,usp.0,"Welcome 2 - day 1, behind the print | usp.0",&ldquo; &rdquo;,&ldquo;We are a certified B Corp&rdquo;,&ldquo;Wij zijn een gecertificeerde B Corp&rdquo;,&ldquo;Nous sommes une B Corp certifiée&rdquo;,&ldquo;Wir sind eine zertifizierte B Corp&rdquo;,&ldquo;Somos una B Corp certificada&rdquo;,&ldquo;Siamo una B Corp certificata&rdquo;
welcome-02,usp.1,"Welcome 2 - day 1, behind the print | usp.1",&ldquo; &rdquo;,"&ldquo;Local partners, faster delivery&rdquo;","&ldquo;Drukkers in de buurt, dus sneller bij je&rdquo;","&ldquo;Des imprimeurs proches, donc livré plus vite&rdquo;","&ldquo;Druckpartner in der Nähe, also schneller da&rdquo;","&ldquo;Imprentas cercanas, así llega antes&rdquo;","&ldquo;Stampatori vicini, quindi arriva prima&rdquo;"
welcome-02,usp.2,"Welcome 2 - day 1, behind the print | usp.2",&ldquo; &rdquo;,"&ldquo;10,000+ products to choose from&rdquo;",&ldquo;Meer dan 10.000 producten om uit te kiezen&rdquo;,&ldquo;Plus de 10 000 produits au choix&rdquo;,&ldquo;Über 10.000 Produkte zur Auswahl&rdquo;,&ldquo;Más de 10.000 productos a elegir&rdquo;,&ldquo;Oltre 10.000 prodotti tra cui scegliere&rdquo;
welcome-03,alt_5stars,"Welcome 3 - day 3, rated excellent | alt_5stars",,Rated 5 out of 5 stars,Beoordeeld met 5 van de 5 sterren,Noté 5 étoiles sur 5,Bewertet mit 5 von 5 Sternen,Valorado con 5 de 5 estrellas,Valutato 5 stelle su 5
welcome-03,alt_goldfoil,"Welcome 3 - day 3, rated excellent | alt_goldfoil",,Business cards with gold foil finish,Visitekaartjes met goudfolie-afwerking,Cartes de visite avec finition dorure à chaud,Visitenkarten mit Goldfolienveredelung,Tarjetas de visita con acabado en foil dorado,Biglietti da visita con finitura in lamina oro
welcome-03,cta,"Welcome 3 - day 3, rated excellent | button",,Read the reviews,Lees wat ze zeggen,Lire ce qu'ils en disent,"Lesen, was sie sagen",Lee lo que dicen,Leggi cosa dicono
welcome-03,cta2,"Welcome 3 - day 3, rated excellent | second button",,Place your first order,Plaats je eerste bestelling,Passer ma première commande,Zum ersten Mal bestellen,Haz tu primer pedido,Fai il tuo primo ordine
welcome-03,expires,"Welcome 3 - day 3, rated excellent | countdown, on the product tiles",&middot; &nbsp;,&nbsp;&middot;&nbsp;2 days left,&nbsp;&middot;&nbsp;Nog 2 dagen,&nbsp;&middot;&nbsp;Plus que 2 jours,&nbsp;&middot;&nbsp;Noch 2 Tage,&nbsp;&middot;&nbsp;Quedan 2 días,&nbsp;&middot;&nbsp;Ancora 2 giorni
welcome-03,g.0,"Welcome 3 - day 3, rated excellent | g.0",,Best price guaranteed,"Beste prijs, gegarandeerd",Meilleur prix garanti,Bestpreis-Garantie,Mejor precio garantizado,Miglior prezzo garantito
welcome-03,g.1,"Welcome 3 - day 3, rated excellent | g.1",,All-inclusive prices,All-in prijzen,Prix tout compris,Preise mit allem drin,Precios con todo incluido,Prezzi tutto compreso
welcome-03,g.2,"Welcome 3 - day 3, rated excellent | g.2",,Always a perfect design,Altijd een perfect ontwerp,Toujours un design impeccable,Immer ein perfektes Design,Siempre un diseño perfecto,Sempre un design perfetto
welcome-03,g.3,"Welcome 3 - day 3, rated excellent | g.3",100%,100% satisfaction guarantee,100% tevredenheidsgarantie,Satisfaction garantie à 100%,100% Zufriedenheitsgarantie,100% de satisfacción garantizada,Soddisfazione garantita al 100%
welcome-03,g_h,"Welcome 3 - day 3, rated excellent | g_h",,"Every order, guaranteed",Dit staat vast bij elke order,"Sur chaque commande, c'est garanti",Bei jeder Bestellung fest zugesagt,"En cada pedido, garantizado","Su ogni ordine, garantito"
welcome-03,h1,"Welcome 3 - day 3, rated excellent | main headline",,Rated Excellent on Trustpilot,"Uitstekend, volgens 34.000+ klanten","Excellent, selon 34 000+ clients",Hervorragend – sagen über 34.000 Kunden,"Excelente, según más de 34.000 clientes","Eccellente, secondo oltre 34.000 clienti"
welcome-03,pre,"Welcome 3 - day 3, rated excellent | hidden preheader - the inbox snippet",10%,"Rated 4.5 from 34,000+ reviews. Only 2 days left to use your 10%.","4,5 uit 34.000+ reviews. Nog 2 dagen voor je 10%.","4,5 sur 34 000+ avis. Il reste 2 jours pour vos 10%.","4,5 aus über 34.000 Bewertungen. Noch 2 Tage für Ihre 10%.","4,5 con más de 34.000 opiniones. Te quedan 2 días para tu 10%.","4,5 su oltre 34.000 recensioni. Restano 2 giorni per il tuo 10%."
welcome-03,pre_ordered,"Welcome 3 - day 3, rated excellent | preheader for people who already ordered (no discount)",,"Rated 4.5 on Trustpilot from 34,000+ reviews. Here is what a few of them say.","4,5 op Trustpilot, uit 34.000+ reviews. Dit zeggen een paar klanten.","4,5 sur Trustpilot, 34 000+ avis. Voici quelques voix.","4,5 auf Trustpilot, über 34.000 Bewertungen. Ein paar Stimmen daraus.","4,5 en Trustpilot, más de 34.000 opiniones. Estas son algunas voces.","4,5 su Trustpilot, oltre 34.000 recensioni. Ecco qualche voce."
welcome-03,promise_link,"Welcome 3 - day 3, rated excellent | promise_link",,See what each promise covers,Kijk wat elke belofte inhoudt,Voir ce que couvre chaque garantie,"Nachlesen, was jede Zusage abdeckt",Mira qué cubre cada garantía,Guarda cosa copre ogni garanzia
welcome-03,reviews_h,"Welcome 3 - day 3, rated excellent | reviews_h",,What <em>real customers</em> tell us,Wat <em>echte klanten</em> zeggen,Ce que disent <em>de vrais clients</em>,Was <em>echte Kunden</em> sagen,Lo que dicen <em>clientes reales</em>,Cosa dicono <em>clienti veri</em>
welcome-03,score_line,"Welcome 3 - day 3, rated excellent | Trustpilot score line",,"4.5 out of 5 from 34,000+ reviews by businesses like yours.","4,5 uit 5, op basis van 34.000+ reviews van bedrijven zoals het jouwe.","4,5 sur 5, sur 34 000+ avis d'entreprises comme la vôtre.","4,5 von 5, aus über 34.000 Bewertungen von Unternehmen wie Ihrem.","4,5 de 5, con más de 34.000 opiniones de empresas como la tuya.","4,5 su 5, da oltre 34.000 recensioni di aziende come la tua."
welcome-03,tp_alt,"Welcome 3 - day 3, rated excellent | tp_alt",,Rated 4.5 out of 5 on Trustpilot,"Beoordeeld met 4,5 uit 5 op Trustpilot","Noté 4,5 sur 5 sur Trustpilot","Bewertet mit 4,5 von 5 auf Trustpilot","Valorado con 4,5 sobre 5 en Trustpilot","Valutato 4,5 su 5 su Trustpilot"
welcome-03,unedited,"Welcome 3 - day 3, rated excellent | unedited",,"Unedited, straight from Trustpilot.",Zoals ze op Trustpilot staan. Niets aan veranderd.,Telles qu'elles apparaissent sur Trustpilot. Rien de retouché.,"So, wie sie auf Trustpilot stehen. Nichts geglättet.",Tal como están en Trustpilot. Sin retocar.,Così come stanno su Trustpilot. Senza ritocchi.
welcome-03,verified,"Welcome 3 - day 3, rated excellent | verified",,verified Trustpilot review,geverifieerde Trustpilot-review,avis Trustpilot vérifié,verifizierte Trustpilot-Bewertung,opinión verificada en Trustpilot,recensione verificata su Trustpilot
welcome-04,alt_desks,"Welcome 4 - day 5, send it over | alt_desks",,Helloprint advisers at their desks,Helloprint-adviseurs aan hun bureau,Des conseillers Helloprint à leur poste,Helloprint-Berater an ihren Schreibtischen,Asesores de Helloprint en sus puestos,Consulenti Helloprint alle loro scrivanie
welcome-04,alt_john,"Welcome 4 - day 5, send it over | alt_john",,"John, print expert at Helloprint","John, printexpert bij Helloprint","John, expert en impression chez Helloprint","John, Druckexperte bei Helloprint","John, experto en impresión en Helloprint","John, esperto di stampa in Helloprint"
welcome-04,cta,"Welcome 4 - day 5, send it over | button",,Contact our experts,Praat met een printexpert,Parler à un expert,Mit einem Druckexperten sprechen,Habla con un experto,Parla con un esperto
welcome-04,email_john,"Welcome 4 - day 5, send it over | email_john",,E-mail John,Mail John,Écrire à John,John schreiben,Escribir a John,Scrivi a John
welcome-04,final_b,"Welcome 4 - day 5, send it over | final_b",,A standard job or something completely unusual. Either way you get a price within 24 hours and a straight answer on what is possible.,Een standaardklus of iets totaal ongewoons. In beide gevallen heb je binnen 24 uur een prijs en een eerlijk antwoord over wat er kan.,"Un travail standard ou quelque chose de totalement inhabituel. Dans les deux cas, vous avez un prix sous 24 heures et une réponse franche sur ce qui est possible.","Ein Standardauftrag oder etwas völlig Ungewöhnliches. In beiden Fällen haben Sie innerhalb von 24 Stunden einen Preis und eine klare Antwort, was möglich ist.",Un trabajo estándar o algo totalmente fuera de lo común. En ambos casos tienes un precio en 24 horas y una respuesta clara sobre qué es posible.,Un lavoro standard o qualcosa di totalmente insolito. In entrambi i casi hai un prezzo entro 24 ore e una risposta chiara su cosa si può fare.
welcome-04,final_cta,"Welcome 4 - day 5, send it over | final_cta",,Get your price,Vraag je prijs op,Obtenir mon prix,Preis anfragen,Pedir mi precio,Chiedi il tuo prezzo
welcome-04,final_h,"Welcome 4 - day 5, send it over | final_h",,Tell John what you need,Vertel John wat je nodig hebt,Dites à John ce qu'il vous faut,"Sagen Sie John, was Sie brauchen",Cuéntale a John qué necesitas,Di' a John cosa ti serve
welcome-04,final_note,"Welcome 4 - day 5, send it over | final_note",,Or just reply to this email. It reaches the team.,Of antwoord gewoon op deze mail. Die komt bij het team terecht.,Ou répondez simplement à cet e-mail : il arrive chez l'équipe.,Oder antworten Sie einfach auf diese E-Mail. Sie landet beim Team.,O responde a este correo sin más: llega al equipo.,Oppure rispondi a questa email: arriva al team.
welcome-04,h1,"Welcome 4 - day 5, send it over | main headline",&rsquo;,"Send it over, we&rsquo;ll handle it","Jij stuurt, wij regelen de rest","Vous envoyez, on s'occupe du reste","Sie schicken, wir machen den Rest","Tú lo mandas, nosotros nos encargamos","Tu mandi, al resto pensiamo noi"
welcome-04,how_h,"Welcome 4 - day 5, send it over | how_h",,How it works,Hoe het werkt,Comment ça marche,So läuft es ab,Cómo funciona,Come funziona
