scope,key,where,keep_exactly,en,nl,fr,de,es,it,en-US,sv
_shared,help.body,Shared across the four welcome emails | help.body,,"Tell a print expert what the job is for and they will tell you which option fits, what it costs and how quickly it can be with you. Reply to this email and it reaches them.","Vertel een printexpert waarvoor het is, dan hoor je welke optie past, wat het kost en hoe snel je het in huis hebt. Antwoord op deze mail en je bericht komt bij hen terecht.","Dites à un expert à quoi ça doit servir, il vous dira quelle option convient, ce que ça coûte et sous quel délai vous l'avez. Répondez à cet e-mail, ça arrive directement chez eux.","Sagen Sie einem Druckexperten, wofür es gedacht ist – Sie hören, welche Option passt, was sie kostet und wie schnell sie bei Ihnen ist. Antworten Sie einfach auf diese E-Mail, sie landet direkt beim Team.","Cuéntale a un experto para qué es y te dirá qué opción encaja, cuánto cuesta y en cuánto tiempo lo tienes. Responde a este correo y le llega directamente.","Racconta a un esperto a cosa ti serve e ti dirà quale opzione va bene, quanto costa e in quanto tempo lo hai. Rispondi a questa mail e arriva direttamente a loro.",,"Berätta för en tryckexpert vad det ska användas till, så får du veta vilket alternativ som passar, vad det kostar och hur snabbt du har det hemma. Svara på det här mejlet, då når det dem."
_shared,help.body_short,Shared across the four welcome emails | help.body_short,,Tell a print expert what the job is for and they will tell you which option fits and what it costs. Reply to this email and it reaches them.,"Vertel een printexpert waarvoor het is, dan hoor je welke optie past en wat het kost. Antwoord op deze mail en je bericht komt bij hen terecht.","Dites à un expert à quoi ça doit servir, il vous dira quelle option convient et ce que ça coûte. Répondez à cet e-mail, ça arrive directement chez eux.","Sagen Sie einem Druckexperten, wofür es gedacht ist – Sie hören, welche Option passt und was sie kostet. Antworten Sie einfach auf diese E-Mail, sie landet direkt beim Team.",Cuéntale a un experto para qué es y te dirá qué opción encaja y cuánto cuesta. Responde a este correo y le llega directamente.,Racconta a un esperto a cosa ti serve e ti dirà quale opzione va bene e quanto costa. Rispondi a questa mail e arriva direttamente a loro.,,"Berätta för en tryckexpert vad det ska användas till, så får du veta vilket alternativ som passar och vad det kostar. Svara på det här mejlet, då når det dem."
_shared,help.centre,Shared across the four welcome emails | help.centre,,Help Centre,Helpcentrum,Centre d'aide,Hilfe-Center,Centro de ayuda,Centro assistenza,,Hjälpcenter
_shared,help.chat,Shared across the four welcome emails | help.chat,,Chat with us,Chat met ons,Discuter avec nous,Schreiben Sie uns im Chat,Chatea con nosotros,Scrivici in chat,,Chatta med oss
_shared,help.email,Shared across the four welcome emails | help.email,,E-mail us,Mail ons,Écrivez-nous,Schreiben Sie uns,Escríbenos,Scrivici,,
_shared,help.email_short,Shared across the four welcome emails | help.email_short,,E-mail,E-mail,E-mail,E-Mail,Correo,E-mail,,Mejl
_shared,help.email_us,Shared across the four welcome emails | help.email_us,,E-mail us,Mail ons,Écrivez-nous,Schreiben Sie uns,Escríbenos,Scrivici,,
_shared,help.title,Shared across the four welcome emails | help.title,,Not sure which one you need?,Weet je niet welke je nodig hebt?,Vous ne savez pas lequel choisir ?,"Nicht sicher, was Sie brauchen?",¿No sabes cuál necesitas?,Non sai quale ti serve?,,
_shared,help.title_short,Shared across the four welcome emails | help.title_short,,Not sure what you need?,Weet je niet wat je nodig hebt?,Vous ne savez pas quoi choisir ?,"Nicht sicher, was Sie brauchen?",¿No sabes qué necesitas?,Non sai cosa ti serve?,,Vet du inte vad du behöver?
_shared,offer.code_label,Shared across the four welcome emails | offer.code_label,,YOUR CODE,JOUW CODE,VOTRE CODE,IHR CODE,TU CÓDIGO,IL TUO CODICE,,DIN KOD
_shared,offer.cta,Shared across the four welcome emails | offer.cta,,Start your next order,Begin je volgende bestelling,Lancez votre prochaine commande,Starten Sie Ihre nächste Bestellung,Empieza tu próximo pedido,Inizia il tuo prossimo ordine,,
_shared,offer.expiry,Shared across the four welcome emails | offer.expiry,&middot;,%d%% off your next order &middot; expires %d days after this email,%d%% korting op je volgende bestelling &middot; verloopt %d dagen na deze mail,%d%% de remise sur votre prochaine commande &middot; expire %d jours après cet e-mail,%d%% Rabatt auf Ihre nächste Bestellung &middot; läuft %d Tage nach dieser E-Mail ab,%d%% de descuento en tu próximo pedido &middot; caduca %d días después de este correo,%d%% di sconto sul prossimo ordine &middot; scade %d giorni dopo questa email,,
_shared,offer.terms,Shared across the four welcome emails | offer.terms,,One use per customer.,Eén keer te gebruiken per klant.,Une utilisation par client.,Einmal pro Kunde einlösbar.,Un uso por cliente.,Un utilizzo per cliente.,,Gäller en gång per kund.
_shared,ord.and_save,Shared across the four welcome emails | ord.and_save,, and save at least {amt}, en bespaar minstens {amt}, et économisez au moins {amt}, und sparen Sie mindestens {amt}, y ahorra al menos {amt}, e risparmia almeno {amt},,
_shared,ord.ask,Shared across the four welcome emails | ord.ask,,Ask a print expert,Vraag een printexpert,Demander à un expert,Einen Druckexperten fragen,Pregunta a un experto,Chiedi a un esperto,,
_shared,ord.at_checkout,Shared across the four welcome emails | ord.at_checkout,,at checkout,bij het afrekenen,lors du paiement,beim Bezahlen,al pagar,al momento del pagamento,,i kassan
_shared,ord.at_least_off,Shared across the four welcome emails | ord.at_least_off,,That is at least {amt} off.,Dat is minstens {amt} korting.,Cela fait au moins {amt} de remise.,Das sind mindestens {amt} Rabatt.,Eso son al menos {amt} de descuento.,Sono almeno {amt} di sconto.,,
_shared,ord.basket,Shared across the four welcome emails | ord.basket,,YOUR BASKET,JOUW WINKELWAGEN,VOTRE PANIER,IHR WARENKORB,TU CESTA,IL TUO CARRELLO,,
_shared,ord.code_runs_out,Shared across the four welcome emails | ord.code_runs_out,,The code runs out in {h} hours,De code verloopt over {h} uur,Le code expire dans {h} heures,Der Code läuft in {h} Stunden ab,El código caduca en {h} horas,Il codice scade tra {h} ore,,
_shared,ord.comes_off_10,Shared across the four welcome emails | ord.comes_off_10,10%,Your 10% comes off at checkout.,Je 10% gaat er bij het afrekenen af.,Vos 10% s'appliquent au paiement.,Ihre 10% werden beim Checkout abgezogen.,Tu 10% se aplica en el pago.,Il tuo 10% viene applicato al checkout.,,
_shared,ord.comes_off_25,Shared across the four welcome emails | ord.comes_off_25,25%,Your 25% comes off at checkout.,Je 25% gaat er bij het afrekenen af.,Vos 25% s'appliquent au paiement.,Ihre 25% werden beim Checkout abgezogen.,Tu 25% se aplica en el pago.,Il tuo 25% viene applicato al checkout.,,
_shared,ord.ends_in_h,Shared across the four welcome emails | ord.ends_in_h,&middot; &nbsp;,&middot; ends in {h}&nbsp;hours,&middot; verloopt over {h}&nbsp;uur,&middot; expire dans {h}&nbsp;heures,&middot; läuft in {h}&nbsp;Stunden ab,&middot; caduca en {h}&nbsp;horas,&middot; scade tra {h}&nbsp;ore,,
_shared,ord.finish,Shared across the four welcome emails | ord.finish,,Finish the job,Maak het af,Terminer la commande,Auftrag abschließen,Termina el pedido,Completa l'ordine,,
_shared,ord.nothing_charged,Shared across the four welcome emails | ord.nothing_charged,,Nothing is charged until you confirm,Er wordt niets afgeschreven totdat je bevestigt,Rien n'est débité tant que vous n'avez pas confirmé,"Es wird nichts abgebucht, bis Sie bestätigen",No se cobra nada hasta que confirmas,Non viene addebitato nulla finché non confermi,,
_shared,ord.off25_next_h,Shared across the four welcome emails | ord.off25_next_h,&nbsp; 25%,"25% off, for the next {h}&nbsp;hours","25% korting, de komende {h}&nbsp;uur","25% de remise, pendant les {h}&nbsp;prochaines heures","25% Rabatt, für die nächsten {h}&nbsp;Stunden","25% de descuento, durante las próximas {h}&nbsp;horas","25% di sconto, per le prossime {h}&nbsp;ore",,
_shared,ord.or_expert,Shared across the four welcome emails | ord.or_expert,,or speak to a print expert,of spreek een printexpert,ou parlez à un expert en impression,oder sprechen Sie mit einem Druckexperten,o habla con un experto en impresión,oppure parla con un esperto di stampa,,
_shared,ord.reply,Shared across the four welcome emails | ord.reply,,Or reply to this email and a print expert will pick it up.,"Of antwoord op deze mail, dan pakt een printexpert het op.",Ou répondez à cet e-mail et un expert s'en occupera.,"Oder antworten Sie auf diese E-Mail, dann übernimmt ein Druckexperte.",O responde a este correo y un experto se ocupará.,Oppure rispondi a questa email e un esperto se ne occuperà.,,
_shared,ord.return,Shared across the four welcome emails | ord.return,,Return to checkout,Terug naar afrekenen,Retour au paiement,Zurück zur Kasse,Volver al pago,Torna al pagamento,,
_shared,ord.role,Shared across the four welcome emails | ord.role,,PRINT EXPERT TEAM,PRINTEXPERT-TEAM,ÉQUIPE D'EXPERTS EN IMPRESSION,DRUCKEXPERTEN-TEAM,EQUIPO DE EXPERTOS EN IMPRESIÓN,TEAM ESPERTI DI STAMPA,,
_shared,ord.saved_either,Shared across the four welcome emails | ord.saved_either,,"Your basket stays saved either way. It is the discount that expires, not the order.","Je winkelwagen blijft hoe dan ook bewaard. Het is de korting die verloopt, niet de bestelling.","Votre panier reste conservé dans tous les cas. C'est la remise qui expire, pas la commande.","Ihr Warenkorb bleibt in jedem Fall gespeichert. Es läuft der Rabatt ab, nicht die Bestellung.","Tu cesta se queda guardada en cualquier caso. Lo que caduca es el descuento, no el pedido.","Il tuo carrello resta salvato in ogni caso. È lo sconto che scade, non l'ordine.",,
_shared,ord.still,Shared across the four welcome emails | ord.still,,STILL IN YOUR BASKET,NOG IN JE WINKELWAGEN,TOUJOURS DANS VOTRE PANIER,NOCH IN IHREM WARENKORB,TODAVÍA EN TU CESTA,ANCORA NEL TUO CARRELLO,,
_shared,ord.stuck,Shared across the four welcome emails | ord.stuck,,Stuck on something?,Loop je ergens op vast?,Vous bloquez sur quelque chose ?,Hängen Sie irgendwo fest?,¿Te has atascado con algo?,Ti sei bloccato su qualcosa?,,
_shared,ord.use_code,Shared across the four welcome emails | ord.use_code,,Use code,Gebruik code,Utilisez le code,Code verwenden,Usa el código,Usa il codice,,
_shared,ord.worth_at_least,Shared across the four welcome emails | ord.worth_at_least,&middot;,Worth at least {amt} on this basket &middot; ,Minstens {amt} waard op dit mandje &middot; ,Vaut au moins {amt} sur ce panier &middot; ,Mindestens {amt} wert auf diesen Warenkorb &middot; ,Vale al menos {amt} en esta cesta &middot; ,Vale almeno {amt} su questo carrello &middot; ,,
_shared,prod.design_check,Shared across the four welcome emails | prod.design_check,,Premium Design Check,Premium ontwerpcontrole,Contrôle de fichier Premium,Premium-Designprüfung,Revisión de diseño Premium,Controllo file Premium,,
_shared,px.exvat,Shared across the four welcome emails | px.exvat,,excl. VAT and delivery,excl. btw en verzending,hors TVA et livraison,zzgl. MwSt. und Versand,IVA y envío no incluidos,IVA e spedizione esclusi,,
_shared,px.exvat_note,Shared across the four welcome emails | px.exvat_note,,Prices exclude VAT and delivery.,Prijzen zijn excl. btw en verzending.,Prix hors TVA et livraison.,Preise zzgl. MwSt. und Versand.,Los precios no incluyen IVA ni envío.,I prezzi non includono IVA e spedizione.,Prices exclude sales tax and shipping.,Priser exkl. moms och frakt.
_shared,px.for_qty,Shared across the four welcome emails | px.for_qty,,for {n} units,voor {n} stuks,pour {n} unités,für {n} Stück,para {n} unidades,per {n} pezzi,,för {n} st
_shared,px.from,Shared across the four welcome emails | px.from,,From,Vanaf,À partir de,Ab,Desde,Da,,Från
_shared,rev.by,Shared across the four welcome emails | rev.by,,verified Trustpilot review,geverifieerde Trustpilot-review,avis Trustpilot vérifié,verifizierte Trustpilot-Bewertung,opinión verificada de Trustpilot,recensione Trustpilot verificata,,verifierat Trustpilot-omdöme
_shared,review.cta,Shared across the four welcome emails | review.cta,,Rate your experience,Beoordeel je ervaring,Donnez votre avis,Bewerten Sie Ihre Erfahrung,Valora tu experiencia,Lascia la tua opinione,,
_shared,review.outof,Shared across the four welcome emails | review.outof,,out of 5 on Trustpilot,uit 5 op Trustpilot,sur 5 sur Trustpilot,von 5 auf Trustpilot,de 5 en Trustpilot,su 5 su Trustpilot,,av 5 på Trustpilot
_shared,review.score,Shared across the four welcome emails | review.score,,Rated {score} out of 5 from {total}+ reviews on Trustpilot.,Beoordeeld met {score} uit 5 op basis van {total}+ reviews op Trustpilot.,Note de {score} sur 5 sur {total}+ avis Trustpilot.,Bewertet mit {score} von 5 aus {total}+ Bewertungen auf Trustpilot.,Valorado con {score} sobre 5 a partir de {total}+ opiniones en Trustpilot.,Valutato {score} su 5 su {total}+ recensioni su Trustpilot.,,
_shared,review.stars_label,Shared across the four welcome emails | review.stars_label,,Rate your experience on Trustpilot,Beoordeel je ervaring op Trustpilot,Donnez votre avis sur Trustpilot,Bewerten Sie Ihre Erfahrung auf Trustpilot,Valora tu experiencia en Trustpilot,Lascia la tua opinione su Trustpilot,,
_shared,review.verified,Shared across the four welcome emails | review.verified,,Verified Trustpilot review,Geverifieerde Trustpilot-review,Avis Trustpilot vérifié,Verifizierte Trustpilot-Bewertung,Opinión verificada de Trustpilot,Recensione Trustpilot verificata,,
_shared,tp.alt,Shared across the four welcome emails | tp.alt,,Rated 4.5 out of 5 on Trustpilot,"Beoordeeld met 4,5 uit 5 op Trustpilot","Noté 4,5 sur 5 sur Trustpilot","Bewertet mit 4,5 von 5 auf Trustpilot","Valorado con 4,5 sobre 5 en Trustpilot","Valutato 4,5 su 5 su Trustpilot",,"Betygsatt 4,5 av 5 på Trustpilot"
_shared,tp.alt_stars,Shared across the four welcome emails | tp.alt_stars,,Rated 4.5 out of 5 stars on Trustpilot,"Beoordeeld met 4,5 van de 5 sterren op Trustpilot","Noté 4,5 étoiles sur 5 sur Trustpilot","Bewertet mit 4,5 von 5 Sternen auf Trustpilot","Valorado con 4,5 de 5 estrellas en Trustpilot","Valutato 4,5 stelle su 5 su Trustpilot",,"Betygsatt 4,5 av 5 stjärnor på Trustpilot"
_shared,tp.score_line,Shared across the four welcome emails | tp.score_line,,<em>4.5</em> out of 5 on Trustpilot,"<em>4,5</em> uit 5 op Trustpilot","<em>4,5</em> sur 5 sur Trustpilot","<em>4,5</em> von 5 auf Trustpilot","<em>4,5</em> de 5 en Trustpilot","<em>4,5</em> su 5 su Trustpilot",,"<em>4,5</em> av 5 på Trustpilot"
_shared,tp.verified_line,Shared across the four welcome emails | tp.verified_line,&middot;,"Verified Trustpilot review &middot; 4.5 out of 5 from 34,000+","Geverifieerde Trustpilot-review &middot; 4,5 uit 5 op basis van 34.000+","Avis Trustpilot vérifié &middot; 4,5 sur 5 sur 34 000+","Verifizierte Trustpilot-Bewertung &middot; 4,5 von 5 aus 34.000+","Opinión verificada de Trustpilot &middot; 4,5 sobre 5 de 34.000+","Recensione Trustpilot verificata &middot; 4,5 su 5 su 34.000+",,
_shared,wb.best,Shared across the four welcome emails | wb.best,,"Best,","Groet,","Bien à vous,","Viele Grüße,","Un saludo,","A presto,",,
_shared,wb.fast_b,Shared across the four welcome emails | wb.fast_b,,"Not everything has to take a week. A lot of what we print carries a Next Day Delivery badge, so if your date is tight there is usually a way to make it. If you cannot see it on the product, ask us and we will tell you what can still land in time.","Niet alles hoeft een week te duren. Veel van wat wij drukken heeft een Next Day Delivery-label, dus als je datum krap is, is er meestal een manier. Zie je het niet bij het product staan, vraag het ons en wij zeggen wat het nog op tijd haalt.","Tout n'a pas besoin d'une semaine. Beaucoup de nos produits portent un badge Next Day Delivery : si votre date est serrée, il y a souvent une solution. Si vous ne le voyez pas sur le produit, demandez-nous et nous vous dirons ce qui peut encore arriver à temps.","Nicht alles muss eine Woche dauern. Vieles, was wir drucken, trägt ein Next Day Delivery-Kennzeichen, bei knappen Terminen geht also meistens etwas. Wenn Sie es beim Produkt nicht sehen, fragen Sie uns, dann sagen wir Ihnen, was noch rechtzeitig ankommt.","No todo tiene que tardar una semana. Mucho de lo que imprimimos lleva la etiqueta Next Day Delivery, así que si tu fecha va justa suele haber una forma. Si no la ves en el producto, pregúntanos y te decimos qué llega todavía a tiempo.","Non tutto deve richiedere una settimana. Molto di ciò che stampiamo ha un badge Next Day Delivery, quindi se la data è stretta di solito una via c'è. Se non lo vedi sul prodotto, chiedicelo e ti diciamo cosa arriva ancora in tempo.",,
_shared,wb.fast_cta,Shared across the four welcome emails | wb.fast_cta,,See what ships next day,Bekijk wat morgen geleverd wordt,Voir ce qui part en 24 h,"Sehen, was morgen geliefert wird",Ver qué se envía al día siguiente,Vedi cosa spedisce il giorno dopo,,
_shared,wb.fast_h,Shared across the four welcome emails | wb.fast_h,&rsquo;,In a hurry? We&rsquo;ve got your back,Haast? Wij regelen het,Pressé ? On s'en occupe,Eilig? Wir kriegen das hin,¿Con prisa? Te cubrimos,Di fretta? Ci pensiamo noi,,
_shared,wb.grid_h2,Shared across the four welcome emails | wb.grid_h2,,Where to pick up,Waar je verder kunt,Par où reprendre,Wo Sie weitermachen,Por dónde seguir,Da dove riprendere,,
_shared,wb.grid_h3,Shared across the four welcome emails | wb.grid_h3,,A few worth picking up,Een paar om mee te beginnen,Quelques-uns à retenir,"Ein paar, die sich lohnen",Unos cuantos que merecen la pena,Qualcuno che vale la pena,,
_shared,wb.grid_sub2,Shared across the four welcome emails | wb.grid_sub2,,"No prices here on purpose. A starting point, not a shelf.","Bewust geen prijzen. Een startpunt, geen schap.","Pas de prix ici, volontairement. Un point de départ, pas un rayon.","Bewusst ohne Preise. Ein Ausgangspunkt, kein Regal.","Sin precios a propósito. Un punto de partida, no un estante.","Niente prezzi, di proposito. Un punto di partenza, non uno scaffale.",,
_shared,wb.grid_sub3,Shared across the four welcome emails | wb.grid_sub3,,Three we would put in front of you first. No prices attached.,Drie die wij je als eerste zouden laten zien. Zonder prijzen.,Trois que nous vous montrerions en premier. Sans prix.,"Drei, die wir Ihnen zuerst zeigen würden. Ohne Preise.",Tres que te enseñaríamos primero. Sin precios.,Tre che ti mostreremmo per primi. Senza prezzi.,,
_shared,wb.sig_role,Shared across the four welcome emails | wb.sig_role,,PRINT EXPERT TEAM,PRINTEXPERT-TEAM,ÉQUIPE D'EXPERTS EN IMPRESSION,DRUCKEXPERTEN-TEAM,EQUIPO DE EXPERTOS EN IMPRESIÓN,TEAM ESPERTI DI STAMPA,,
_shared,wb.team_alt,Shared across the four welcome emails | wb.team_alt,,"Three of the team at their desks, on headsets",Drie teamleden aan hun bureau met een headset op,"Trois membres de l'équipe à leur bureau, avec un casque",Drei aus dem Team an ihren Schreibtischen mit Headset,"Tres del equipo en sus escritorios, con auriculares","Tre del team alle loro scrivanie, con le cuffie",,
_shared,wb.team_b,Shared across the four welcome emails | wb.team_b,,"Print experts who see jobs like yours every day. If you have a campaign to plan, a size you are not sure about, or a job you have never printed before, send them a message and one of them will come back to you.","Printexperts die dagelijks opdrachten als die van jou zien. Heb je een campagne te plannen, twijfel je over een formaat, of gaat het om iets dat je nog nooit hebt laten drukken? Stuur ze een bericht en een van hen komt bij je terug.","Des experts qui voient des travaux comme le vôtre tous les jours. Une campagne à préparer, un format dont vous doutez, ou un travail que vous n'avez jamais imprimé : écrivez-leur et l'un d'eux vous répondra.","Druckexperten, die täglich Aufträge wie Ihren sehen. Wenn Sie eine Kampagne planen, bei einem Format unsicher sind oder etwas drucken, das Sie noch nie gedruckt haben: Schreiben Sie ihnen, einer meldet sich zurück.","Expertos en impresión que ven trabajos como el tuyo todos los días. Si tienes una campaña que planificar, dudas con un tamaño o es algo que nunca has impreso, escríbeles y uno de ellos te responderá.","Esperti di stampa che vedono lavori come il tuo ogni giorno. Se hai una campagna da pianificare, un formato su cui hai dubbi o un lavoro che non hai mai stampato, scrivi loro e uno ti risponderà.",,
_shared,wb.team_cta,Shared across the four welcome emails | wb.team_cta,,Ping the team a message,Stuur het team een bericht,Envoyez un message à l'équipe,Schreiben Sie dem Team,Envía un mensaje al equipo,Manda un messaggio al team,,
_shared,wb.team_eyebrow,Shared across the four welcome emails | wb.team_eyebrow,,THE PRINT EXPERT TEAM,HET PRINTEXPERT-TEAM,L'ÉQUIPE D'EXPERTS EN IMPRESSION,DAS DRUCKEXPERTEN-TEAM,EL EQUIPO DE EXPERTOS EN IMPRESIÓN,IL TEAM DI ESPERTI DI STAMPA,,
_shared,wb.team_h,Shared across the four welcome emails | wb.team_h,,There is a team behind the website,Achter de website zit een team,Il y a une équipe derrière le site,Hinter der Website steht ein Team,Detrás de la web hay un equipo,Dietro il sito c'è una squadra,,
_shared,wb.unsub_label,Shared across the four welcome emails | wb.unsub_label,,just say the word,zeg het gerust,dites-le simplement,sagen Sie einfach Bescheid,dilo sin más,basta dirlo,,
_shared,wb.unsub_sentence,Shared across the four welcome emails | wb.unsub_sentence,,"And if you would rather not hear from me again, ","En als je liever niets meer van me hoort, ","Et si vous préférez ne plus avoir de mes nouvelles, ","Und wenn Sie lieber nichts mehr von mir hören möchten, ","Y si prefieres no saber más de mí, ","E se preferisci non sentirmi più, ",,
_shared,wc.discount,Shared across the four welcome emails | green bar at the top,10%,Your 10% welcome discount,Je welkomstkorting van 10%,Vos 10% de bienvenue,Ihre 10% zum Start,Tu 10% de bienvenida,Il tuo 10% di benvenuto,,Din välkomstrabatt på 10 %
_shared,wc.expires5,"Shared across the four welcome emails | green bar, validity",&middot; &nbsp;,&nbsp;&middot;&nbsp;Valid only 5 days,&nbsp;&middot;&nbsp;Slechts 5 dagen geldig,&nbsp;&middot;&nbsp;Valable 5 jours seulement,&nbsp;&middot;&nbsp;Nur 5 Tage gültig,&nbsp;&middot;&nbsp;Solo 5 días,&nbsp;&middot;&nbsp;Valido solo 5 giorni,,&nbsp;&middot;&nbsp;Giltig i bara 5 dagar
_shared,wc.help,Shared across the four welcome emails | wc.help,,Do you need help?,Kunnen we je helpen?,Besoin d'un coup de main ?,Können wir helfen?,¿Te echamos una mano?,Possiamo darti una mano?,,Kan vi hjälpa till?
_shared,wc.ordered_line,Shared across the four welcome emails | wc.ordered_line,,"Thanks for your order. Here is what we are, in short.",Bedankt voor je bestelling. Hier is in het kort wie we zijn.,Merci pour votre commande. Voici en bref qui nous sommes.,"Danke für Ihre Bestellung. Hier kurz, wer wir sind.","Gracias por tu pedido. Esto es, en resumen, quiénes somos.",Grazie per il tuo ordine. Ecco in breve chi siamo.,,
_shared,wc.pre_nocode,Shared across the four welcome emails | wc.pre_nocode,,"The prints most businesses start with, and the people behind them.","Waar de meeste bedrijven mee beginnen, en de mensen erachter.","Ce que la plupart des entreprises commandent en premier, et qui le fabrique.",Damit fangen die meisten Unternehmen an – und das sind die Menschen dahinter.,"Con esto empiezan la mayoría de las empresas, y esta es la gente detrás.","Da qui partono la maggior parte delle aziende, e queste sono le persone dietro.",,"Det som de flesta företag börjar med, och folket bakom."
_shared,wc.sectsub_nocode,Shared across the four welcome emails | wc.sectsub_nocode,,Pick one and see what it comes to.,Kies er één en bekijk meteen de prijs.,Choisissez et voyez tout de suite le prix.,Eins aussuchen und direkt den Preis sehen.,Elige uno y mira el precio al momento.,Scegline uno e guarda subito il prezzo.,,Välj en och se priset direkt.
